timestamp,date,time,state_QQQ,action_QQQ,totalQuantity_QQQ,avgPrice_QQQ,commission_QQQ,reg_exec_QQQ ,mktPrice_QQQ ,AvailableFunds,ExcessLiquidity,BuyingPower,Leverage,EquityWithLoanValue,TotalCashValue,NetDividend,NetLiquidation,UnrealizedPnL,RealizedPnL,GrossPositionValue,position_QQQ,marketPrice_QQQ,averageCost_QQQ,marketValue_QQQ,realizedPNL_QQQ,unrealizedPNL_QQQ,initMarginReq_QQQ,maintMarginReq_QQQ,costBasis_QQQ
1433289600,2015-06-03,00:00:00,IBActionState.SUCCESS,IBAction.BUY_MKT_ORDER,47925,104.31976666862872,,False,104.31976666862872,1000000.0,1000000.0,6666666.666666667,0.0,1000000,1000000,0,1000000,0,0,0,0,0,0,0,0,0,0.0,0.0,0
1433376000,2015-06-04,00:00:00,,,,,,False,103.5744245671316,342562.4864863849,402056.83181575395,2283749.9099092325,4.999524817594031,1000000.0,-3999524.817594031,0,1000000.0,0.0,0,4999524.817594031,47925,104.31976666862872,104.3197666686287,4999524.817594031,0,0.0,657437.5135136151,597943.168184246,4999524.817594031
1433462400,2015-06-05,00:00:00,,,,,,False,103.24421562949922,306841.96627213643,366336.3116015055,2045613.1084809096,5.147682182848758,964279.4797857516,-3999524.817594031,0,964279.4797857516,-35720.52021424845,0,4963804.297379782,47925,103.5744245671316,104.3197666686287,4963804.297379782,0,-35720.52021424845,657437.5135136151,597943.168184246,4999524.817594031
1433721600,2015-06-08,00:00:00,,,,,,False,103.07438902788866,291016.70293610473,350511.0482654738,1940111.352907365,5.216887592703381,948454.2164497199,-3999524.817594031,0,948454.2164497199,-51545.783550280146,0,4947979.034043751,47925,103.24421562949922,104.3197666686287,4947979.034043751,0,-51545.783550280146,657437.5135136151,597943.168184246,4999524.817594031
1433808000,2015-06-09,00:00:00,,,,,,False,101.82900044311228,282877.76305391756,342372.1083832866,1885851.7536927836,5.253387047154698,940315.2765675327,-3999524.817594031,0,940315.2765675327,-59684.72343246732,0,4939840.094161564,47925,103.07438902788866,104.3197666686287,4939840.094161564,0,-59684.72343246732,657437.5135136151,597943.168184246,4999524.817594031
1433894400,2015-06-10,00:00:00,,,,,,False,102.25356416985022,223192.5151285103,282686.8604578794,1487950.1008567354,5.541662999796906,880630.0286421254,-3999524.817594031,0,880630.0286421254,-119369.97135787457,0,4880154.846236156,47925,101.82900044311228,104.3197666686287,4880154.846236156,0,-119369.97135787457,657437.5135136151,597943.168184246,4999524.817594031
1433980800,2015-06-11,00:00:00,,,,,,False,103.6499259163288,243539.7317324255,303034.0770617946,1623598.2115495035,5.439096368634519,900977.2452460406,-3999524.817594031,0,900977.2452460406,-99022.75475395937,0,4900502.0628400715,47925,102.25356416985022,104.3197666686287,4900502.0628400715,0,-99022.75475395937,657437.5135136151,597943.168184246,4999524.817594031
1434067200,2015-06-12,00:00:00,,,,,,False,102.9045415162462,310460.3684324112,369954.7137617803,2069735.7895494082,5.132176433274869,967897.8819460263,-3999524.817594031,0,967897.8819460263,-32102.118053973652,0,4967422.699540057,47925,103.6499259163288,104.3197666686287,4967422.699540057,0,-32102.118053973652,657437.5135136151,597943.168184246,4999524.817594031
1434326400,2015-06-15,00:00:00,,,,,,False,101.83842811837752,274737.8210584533,334232.16638782236,1831585.473723022,5.290528475986853,932175.3345720684,-3999524.817594031,0,932175.3345720684,-67824.66542793158,0,4931700.152166099,47925,102.9045415162462,104.3197666686287,4931700.152166099,0,-67824.66542793158,657437.5135136151,597943.168184246,4999524.817594031
1434412800,2015-06-16,00:00:00,,,,,,False,101.98939846363304,223644.33646559645,283138.6817949655,1490962.2431039764,5.539334021791955,881081.8499792116,-3999524.817594031,0,881081.8499792116,-118918.15002078842,0,4880606.667573242,47925,101.83842811837752,104.3197666686287,4880606.667573242,0,-118918.15002078842,657437.5135136151,597943.168184246,4999524.817594031
1434499200,2015-06-17,00:00:00,,,,,,False,102.81964922060656,230879.59026196715,290373.9355913362,1539197.2684131144,5.502361601048763,888317.1037755823,-3999524.817594031,0,888317.1037755823,-111682.89622441772,0,4887841.921369613,47925,101.98939846363304,104.3197666686287,4887841.921369613,0,-111682.89622441772,657437.5135136151,597943.168184246,4999524.817594031
1434585600,2015-06-18,00:00:00,,,,,,False,103.31026380652258,270669.35778992367,330163.70311929274,1804462.3852661578,5.309336501276673,928106.8713035388,-3999524.817594031,0,928106.8713035388,-71893.12869646121,0,4927631.68889757,47925,102.81964922060656,104.3197666686287,4927631.68889757,0,-71893.12869646121,657437.5135136151,597943.168184246,4999524.817594031
1434672000,2015-06-19,00:00:00,,,,,,False,104.48405590830146,294182.0618199485,353676.40714931756,1961213.7454663233,5.202861018482212,951619.5753335636,-3999524.817594031,0,951619.5753335636,-48380.42466643639,0,4951144.3929275945,47925,103.31026380652258,104.3197666686287,4951144.3929275945,0,-48380.42466643639,657437.5135136151,597943.168184246,4999524.817594031
1434931200,2015-06-22,00:00:00,,,,,,False,104.68264770507812,350436.04829770164,409930.3936270707,2336240.3219846776,4.968280317231676,1007873.5618113168,-3999524.817594031,0,1007873.5618113168,7873.561811316758,0,5007398.379405348,47925,104.48405590830146,104.3197666686287,5007398.379405348,0,7873.561811316758,657437.5135136151,597943.168184246,4999524.817594031
1435017600,2015-06-23,00:00:00,,,,,,False,104.79609883280324,359953.56015822315,419447.9054875922,2399690.401054821,4.931157763316573,1017391.0736718383,-3999524.817594031,0,1017391.0736718383,17391.07367183827,0,5016915.891265869,47925,104.68264770507812,104.3197666686287,5016915.891265869,0,17391.07367183827,657437.5135136151,597943.168184246,4999524.817594031
1435104000,2015-06-24,00:00:00,,,,,,False,104.64484494303112,365390.7054544494,424885.0507838185,2435938.036362996,4.910260533903892,1022828.2189680645,-3999524.817594031,0,1022828.2189680645,22828.218968064524,0,5022353.036562095,47925,104.79609883280324,104.3197666686287,5022353.036562095,0,22828.218968064524,657437.5135136151,597943.168184246,4999524.817594031
1435190400,2015-06-25,00:00:00,,,,,,False,104.63538310339791,358141.8627871203,417636.20811648935,2387612.4185808017,4.938170576250146,1015579.3763007354,-3999524.817594031,0,1015579.3763007354,15579.3763007354,0,5015104.193894766,47925,104.64484494303112,104.3197666686287,5015104.193894766,0,15579.3763007354,657437.5135136151,597943.168184246,4999524.817594031
1435276800,2015-06-26,00:00:00,,,,,,False,104.00175762804037,357688.4041226993,417182.74945206835,2384589.3608179954,4.939929764483589,1015125.9176363144,-3999524.817594031,0,1015125.9176363144,15125.917636314407,0,5014650.735230345,47925,104.63538310339791,104.3197666686287,5014650.735230345,0,15125.917636314407,657437.5135136151,597943.168184246,4999524.817594031
1435536000,2015-06-29,00:00:00,,,,,,False,102.1861509204901,327321.903216189,386816.2485455581,2182146.02144126,5.0614232772464165,984759.4167298041,-3999524.817594031,0,984759.4167298041,-15240.583270195872,0,4984284.234323835,47925,104.00175762804037,104.3197666686287,4984284.234323835,0,-15240.583270195872,657437.5135136151,597943.168184246,4999524.817594031
1435622400,2015-06-30,00:00:00,,,,,,False,101.64713004864946,240308.95175684267,299803.29708621174,1602059.678378951,5.4550716402866835,897746.4652704578,-3999524.817594031,0,897746.4652704578,-102253.53472954221,0,4897271.282864489,47925,102.1861509204901,104.3197666686287,4897271.282864489,0,-102253.53472954221,657437.5135136151,597943.168184246,4999524.817594031
1435708800,2015-07-01,00:00:00,,,,,,False,102.25233316748192,214476.37647387967,273970.72180324874,1429842.5098258646,5.587064001986931,871913.8899874948,-3999524.817594031,0,871913.8899874948,-128086.1100125052,0,4871438.707581526,47925,101.64713004864946,104.3197666686287,4871438.707581526,0,-128086.1100125052,657437.5135136151,597943.168184246,4999524.817594031
1435795200,2015-07-02,00:00:00,,,,,,False,102.34691645845528,243480.73594392487,302975.08127329394,1623204.9062928325,5.439387058706182,900918.24945754,-3999524.817594031,0,900918.24945754,-99081.75054246001,0,4900443.067051571,47925,102.25233316748192,104.3197666686287,4900443.067051571,0,-99081.75054246001,657437.5135136151,597943.168184246,4999524.817594031
1436140800,2015-07-06,00:00:00,,,,,,False,101.43906892750076,248013.64016382326,307507.98549319233,1653424.2677588218,5.4171624293040965,905451.1536774384,-3999524.817594031,0,905451.1536774384,-94548.84632256161,0,4904975.971271469,47925,102.34691645845528,104.3197666686287,4904975.971271469,0,-94548.84632256161,657437.5135136151,597943.168184246,4999524.817594031
1436227200,2015-07-07,00:00:00,,,,,,False,101.959188234124,204505.04724282795,263999.392572197,1363366.981618853,5.6401291683334875,861942.5607564431,-3999524.817594031,0,861942.5607564431,-138057.43924355693,0,4861467.378350474,47925,101.43906892750076,104.3197666686287,4861467.378350474,0,-138057.43924355693,657437.5135136151,597943.168184246,4999524.817594031
1436313600,2015-07-08,00:00:00,,,,,,False,101.37289086468316,229431.7650127469,288926.110342116,1529545.1000849793,5.509711762977869,886869.278526362,-3999524.817594031,0,886869.278526362,-113130.72147363797,0,4886394.096120393,47925,101.959188234124,104.3197666686287,4886394.096120393,0,-113130.72147363797,657437.5135136151,597943.168184246,4999524.817594031
1436400000,2015-07-09,00:00:00,,,,,,False,101.65659841537696,201333.4635822943,260827.80891166336,1342223.0905486287,5.657265934998354,858770.9770959094,-3999524.817594031,0,858770.9770959094,-141229.02290409058,0,4858295.79468994,47925,101.37289086468316,104.3197666686287,4858295.79468994,0,-141229.02290409058,657437.5135136151,597943.168184246,4999524.817594031
1436486400,2015-07-10,00:00:00,,,,,,False,101.5998625373419,214930.14794929535,274424.4932786644,1432867.6529953023,5.584677991028528,872367.6614629105,-3999524.817594031,0,872367.6614629105,-127632.33853708953,0,4871892.479056941,47925,101.65659841537696,104.3197666686287,4871892.479056941,0,-127632.33853708953,657437.5135136151,597943.168184246,4999524.817594031
1436745600,2015-07-13,00:00:00,,,,,,False,102.67786218576111,212211.0809944647,271705.42632383376,1414740.539963098,5.599012569963823,869648.5945080798,-3999524.817594031,0,869648.5945080798,-130351.40549192019,0,4869173.412102111,47925,101.5998625373419,104.3197666686287,4869173.412102111,0,-130351.40549192019,657437.5135136151,597943.168184246,4999524.817594031
